"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"01","Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities"
"01_1","Growing of non-perennial crops","Growing of non-perennial crops"
"01_11","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds"
"01_12","Growing of rice","Growing of rice"
"01_13","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers"
"01_14","Growing of sugar cane","Growing of sugar cane"
"01_15","Growing of tobacco","Growing of tobacco"
"01_16","Growing of fibre crops","Growing of fibre crops"
"01_19","Growing of other non-perennial crops","Growing of other non-perennial crops"
"01_2","Growing of perennial crops","Growing of perennial crops"
"01_21","Growing of grapes","Growing of grapes"
"01_22","Growing of tropical and subtropical fruits","Growing of tropical and subtropical fruits"
"01_23","Growing of citrus fruits","Growing of citrus fruits"
"01_24","Growing of pome fruits and stone fruits","Growing of pome fruits and stone fruits"
"01_25","Growing of other tree and bush fruits and nuts","Growing of other tree and bush fruits and nuts"
"01_26","Growing of oleaginous fruits","Growing of oleaginous fruits"
"01_27","Growing of beverage crops","Growing of beverage crops"
"01_28","Growing of spices, aromatic, drug and pharmaceutical crops","Growing of spices, aromatic, drug and pharmaceutical crops"
"01_29","Growing of other perennial crops","Growing of other perennial crops"
"01_3","Plant propagation","Plant propagation"
"01_30","Plant propagation","Plant propagation"
"01_4","Animal production","Animal production"
"01_41","Raising of dairy cattle","Raising of dairy cattle"
"01_42","Raising of other cattle and buffaloes","Raising of other cattle and buffaloes"
"01_43","Raising of horses and other equines","Raising of horses and other equines"
"01_44","Raising of camels and camelids","Raising of camels and camelids"
"01_45","Raising of sheep and goats","Raising of sheep and goats"
"01_46","Raising of swine/pigs","Raising of swine/pigs"
"01_47","Raising of poultry","Raising of poultry"
"01_49","Raising of other animals","Raising of other animals"
"01_5","Mixed farming","Mixed farming"
"01_50","Mixed farming","Mixed farming"
"01_6","Support activities to agriculture and post-harvest crop activities","Support activities to agriculture and post-harvest crop activities"
"01_61","Support activities for crop production","Support activities for crop production"
"01_62","Support activities for animal production","Support activities for animal production"
"01_63","Post-harvest crop activities","Post-harvest crop activities"
"01_64","Seed processing for propagation","Seed processing for propagation"
"01_7","Hunting, trapping and related service activities","Hunting, trapping and related service activities"
"01_70","Hunting, trapping and related service activities","Hunting, trapping and related service activities"
"02","Forestry and logging","Forestry and logging"
"02_1","Silviculture and other forestry activities","Silviculture and other forestry activities"
"02_10","Silviculture and other forestry activities","Silviculture and other forestry activities"
"02_2","Logging","Logging"
"02_20","Logging","Logging"
"02_3","Gathering of wild growing non-wood products","Gathering of wild growing non-wood products"
"02_30","Gathering of wild growing non-wood products","Gathering of wild growing non-wood products"
"02_4","Support services to forestry","Support services to forestry"
"02_40","Support services to forestry","Support services to forestry"
