"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"0","Not applicable","Not applicable"
"-4","Unspecified","Unspecified"
"S11_A","Post Office Giro","Post office giro institutions that belongs to the sector ‘non-financial corporations’ (Sector 11, ESA 2010),"
"S11_B","Head office of non financial corporations","Head office of non financial corporations"
"S11_C","Non financial corporation other than head office of non financial corporations and post office giro","Non financial corporation other than head office of non financial corporations and post office giro"
"S122_A","Credit institutions","Credit institutions as defined in Article 4(1)(1) of Regulation (EU) No 575/2013."
"S122_B","Deposit-taking corporations other than credit institutions and the central bank","Deposit-taking corporations other than credit institutions and the central bank"
"S124_A","Non-MMF investment funds - open-ended","Non-MMF investment funds - open-ended"
"S124_B","Non-MMF investment funds - closed","Non-MMF investment funds - closed"
"S125_A","Financial Vehicle Corporations (FVCs)","FVCs as defined in Article 1 of Regulation (EU) No 1075/2013."
"S125_B","Security and derivative dealers","Security and derivative dealers as defined in Regulation (EU) No 549/2013 (paragraph 2.91 of Annex A), extended to the rest of the world."
"S125_C","Financial corporations engaged in lending","Financial corporations engaged in lending as defined in Regulation (EU) No 549/2013 (paragraph 2.92 of Annex A), extended to the rest of the world."
"S125_D","Specialised financial corporations other than CCPs","Specialised financial corporations, as defined in Regulation (EU) No 549/2013 (paragraph 2.93 of Annex A), extended to the rest of the world, other than CCPs, as defined in point (1) of Article 2 of Regulation (EU) No 648/2012."
"S125_E","Central Counterparties (CCPs)","CCPs as defined in point (1) of Article 2 of Regulation (EU) No 648/2012."
"S125_I","Other financial intermediaries, except insurance corporations and pension funds, other than CCPs, FVCs, security and derivative dealers, financial corporations engaged in lending and specialised financial corporations","It corresponds to subsector S.125, as defined in Regulation (EU) No 549/2013 (paragraphs 2.86 to 2.94 of Annex A), extended to the rest of the world, other than CCPs, as defined in point (1) of Article 2 of Regulation (EU) No 648/2012, FVCs, as defined in Article 1 of Regulation (EU) No 1075/2013, and security and derivative dealers, financial corporations engaged in lending and specialised financial corporations, as defined in Regulation (EU) No 549/2013 (paragraphs 2.91, 2.92 and 2.93, respectively, of Annex A), extended to the rest of the world."
"S126_A","Management companies","Management companies"
"S126_B","Head office of  financial corporations","Head office of  financial corporations"
"S126_C","Payment Institution","Payment Institution"
"S126_D","Financial auxiliaries other than management companies, head office of financial corporations, payment institutions","Financial auxiliaries other than management companies, head office of financial corporations, payment institutions"
"S127_A","Holding companies","Holding companies"
"S127_B","Captive financial institutions and money lenders other than Holding companies","Captive financial institutions and money lenders other than Holding companies"
"S128_A","Reinsurance","Reinsurance"
"S128_B","Life insurance","Life insurance"
"S128_C","Non-Life insurance","Non-Life insurance"
"S128_D","Composite insurance","Composite insurance"
"S128_E","Other than Reinsurance, Life insurance, Non-Life insurance and Composite insurance","Other than Reinsurance, Life insurance, Non-Life insurance and Composite insurance"
