"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"1C","IMF (International Monetary Fund)","IMF (International Monetary Fund)"
"1D","WTO (World Trade Organization)","WTO (World Trade Organization)"
"1E","IBRD (International Bank for Reconstruction and Development)","IBRD (International Bank for Reconstruction and Development)"
"1F","IDA (International Development Association)","IDA (International Development Association)"
"1G","ICSID (International Centre for Settlement of Investment Disputes)","ICSID (International Centre for Settlement of Investment Disputes)"
"1H","UNESCO (United Nations Educational, Scientific and Cultural Organisation)","UNESCO (United Nations Educational, Scientific and Cultural Organisation)"
"1J","FAO (Food and Agriculture Organisation)","FAO (Food and Agriculture Organisation)"
"1K","WHO (World Health Organisation)","WHO (World Health Organisation)"
"1L","IFAD (International Fund for Agricultural Development)","IFAD (International Fund for Agricultural Development)"
"1M","IFC (International Finance Corporation)","IFC (International Finance Corporation)"
"1N","MIGA (Multilateral Investment Guarantee Agency)","MIGA (Multilateral Investment Guarantee Agency)"
"1O","UNICEF (United Nations Children Fund)","UNICEF (United Nations Children Fund)"
"1P","UNHCR (United Nations High Commissioner for Refugees)","UNHCR (United Nations High Commissioner for Refugees)"
"1Q","UNRWA (United Nations Relief and Works Agency for Palestine)","UNRWA (United Nations Relief and Works Agency for Palestine)"
"1R","IAEA (International Atomic Energy Agency)","IAEA (International Atomic Energy Agency)"
"1S","ILO (International Labour Organisation)","ILO (International Labour Organisation)"
"1T","ITU (International Telecommunication Union)","ITU (International Telecommunication Union)"
"1U","Rest of UN Organisations n.i.e.","Rest of UN Organisations n.i.e."
"1U1","UNECE (United Nations Economic Commission for Europe)","UNECE (United Nations Economic Commission for Europe)"
"1V","UPU (Universal Postal Union)","UPU (Universal Postal Union)"
"4B","EMS (European Monetary System)","EMS (European Monetary System)"
"4C","EIB (European Investment Bank)","EIB (European Investment Bank)"
"4D","EC (European Commission)","EC (European Commission)"
"4E","EDF (European Development Fund)","EDF (European Development Fund)"
"4F","ECB (European Central Bank)","ECB (European Central Bank)"
"4G","EIF (European Investment Fund)","EIF (European Investment Fund)"
