"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"SUPER","Super Source","Super Source"
"DR","Direct reporting","Direct reporting"
"NBR","NBR Source","NBR Source"
"NSI","NSI Source","NSI Source"
"STATISTICS","Statistics","Statistics"
"SUPERVSION","Supervision","Supervision"
"MO","Market Operations","Market Operations"
"RIAD","RIAD","RIAD"
"CSDB","CSDB Source","CSDB Source"
"IFDAT","Investment Fund Collection Process","Investment Fund Collection Process"
"SSM","Single Supervisory Mechanism","Single Supervisory Mechanism"
"DRA","Direct reporting aggregate","Direct reporting aggregate"
"DRD","Direct reporting detail","Direct reporting detail"
"OR","Other reporting","Other reporting"
"ORA","Other reporting aggregate","Other reporting aggregate"
"ORD","Other reporting detail","Other reporting detail"
"DRPA","Direct reporting partial aggregate","Direct reporting partial aggregate"
"DRPD","Direct reporting partial detail","Direct reporting partial detail"
"ORP","Other reporting partial","Other reporting partial"
"ORPA","Other reporting partial aggregate","Other reporting partial aggregate"
"ORPD","Other reporting partial detail","Other reporting partial detail"
